bank_id,asset,exposure
AT001,corporate_AT,29444903874
AT001,corporate_CZ,9484900200.5
AT001,corporate_DE,2361893761.2999997
AT001,corporate_ES,280075584.95
AT001,corporate_FR,242687294.2279
AT001,corporate_GB,635979857.64
AT001,corporate_GR,5615870.6675
AT001,corporate_HU,2585444125.2000003
AT001,corporate_IE,73557276.7606
AT001,corporate_IT,297679627.40000004
AT001,corporate_NL,948683649.34
AT001,corporate_PL,543262052.54
AT001,corporate_PT,7.720000000000001
AT001,corporate_R5,5858887225.104
AT001,corporate_RO,3735702019.1000004
AT001,corporate_SI,855503907.55
AT001,corporate_SK,2575320570.4
AT001,corporate_US,1306903095.6
AT001,direct.sovereign.derivatives_AT,-34000000
AT001,direct.sovereign.derivatives_CZ,202000000
AT001,direct.sovereign.derivatives_LU,-28000000
AT001,inst.client_AT,4552000000
AT001,inst.client_CZ,3350556959.3273
AT001,inst.client_DE,2699000000
AT001,inst.client_ES,437000000
AT001,inst.client_FR,691000000
AT001,inst.client_GB,2653000000
AT001,inst.client_GR,247000000
AT001,inst.client_HU,307000000
AT001,inst.client_IE,160000000
AT001,inst.client_IT,973000000
AT001,inst.client_NL,818000000
AT001,inst.client_PL,540000000
AT001,inst.client_PT,178000000
AT001,inst.client_R5,5824443040.6727
AT001,inst.client_RO,263000000
AT001,inst.client_SI,249000000
AT001,inst.client_SK,80000000
AT001,inst.client_US,1022000000
AT001,sovereign_A1,5308000
AT001,sovereign_AT,5099198080.719999
AT001,sovereign_BE,107156179.02
AT001,sovereign_BG,2034460.1600000001
AT001,sovereign_CY,12200000
AT001,sovereign_CZ,2443344445.68
AT001,sovereign_DE,1344506341.8
AT001,sovereign_E3,20282160
AT001,sovereign_E5,1080220000
AT001,sovereign_ES,66532357.4
AT001,sovereign_FI,25129496.38
AT001,sovereign_FR,77314904.66000001
AT001,sovereign_GB,24773.86
AT001,sovereign_GR,560454496.96
AT001,sovereign_HU,265647171.5
AT001,sovereign_IE,43933233.839999996
AT001,sovereign_IT,1024359102.0799999
AT001,sovereign_LT,7061927.12
AT001,sovereign_LU,44943750
AT001,sovereign_LV,4200859.0200000005
AT001,sovereign_M1,2206000
AT001,sovereign_MT,303748
AT001,sovereign_NL,50738634.18
AT001,sovereign_NO,107832.4
AT001,sovereign_PL,520832886.86
AT001,sovereign_PT,12745172.520000001
AT001,sovereign_R5,980000.0000000001
AT001,sovereign_RO,3713825779.56
AT001,sovereign_SI,126175330.08
AT001,sovereign_SK,3246316208.24
AT001,sovereign_US,573928460
AT002,corporate_A1,3330892392
AT002,corporate_AT,18213824484
AT002,corporate_BE,102874907
AT002,corporate_BG,1547064731
AT002,corporate_CY,361129636
AT002,corporate_CZ,3351707108
AT002,corporate_DE,2499428177
AT002,corporate_DK,5480128
AT002,corporate_E3,1658591899
AT002,corporate_E5,13357812941.000101
AT002,corporate_EE,25084468
AT002,corporate_ES,507289823
AT002,corporate_FI,49827228
AT002,corporate_FR,470537693
AT002,corporate_GB,931471705
AT002,corporate_GR,51471152
AT002,corporate_HU,3165556688
AT002,corporate_IE,58883953
AT002,corporate_IT,778921242
AT002,corporate_JP,64223831.00000001
AT002,corporate_LI,70722
AT002,corporate_LT,10105
AT002,corporate_LU,397357090
AT002,corporate_LV,11319335
AT002,corporate_M1,117407576
AT002,corporate_MT,58275701
AT002,corporate_NL,1433156477
AT002,corporate_NO,22184326
AT002,corporate_PL,3292803052
AT002,corporate_PT,20188935
AT002,corporate_R5,10901512243
AT002,corporate_RO,2147019378.9999998
AT002,corporate_SE,238225801
AT002,corporate_SI,1006360135
AT002,corporate_SK,3844338786
AT002,corporate_US,2409559456
AT002,direct.sovereign.derivatives_AT,-14206040.743999999
AT002,direct.sovereign.derivatives_E5,22512982.6486
AT002,direct.sovereign.derivatives_HU,2241153.1303
AT002,direct.sovereign.derivatives_RO,5707470.253400001
AT002,inst.client_A1,1362011178
AT002,inst.client_AT,6339237181
AT002,inst.client_BE,103325929
AT002,inst.client_BG,85951807
AT002,inst.client_CY,151294081
AT002,inst.client_CZ,188098414
AT002,inst.client_DE,4835504883
AT002,inst.client_DK,333783722
AT002,inst.client_E3,1312857320
AT002,inst.client_E5,1510852658
AT002,inst.client_EE,4957335
AT002,inst.client_ES,479648132
AT002,inst.client_FI,72647423
AT002,inst.client_FR,1782935538
AT002,inst.client_GB,5618011734
AT002,inst.client_GR,57513590
AT002,inst.client_HU,428280756
AT002,inst.client_IE,76158767
AT002,inst.client_IS,5898743
AT002,inst.client_IT,742966587
AT002,inst.client_JP,270063440
AT002,inst.client_LI,3721665
AT002,inst.client_LT,208044
AT002,inst.client_LU,169194043
AT002,inst.client_LV,11931051
AT002,inst.client_M1,19490606
AT002,inst.client_MT,5094332
AT002,inst.client_NL,1125108544
AT002,inst.client_NO,157150366
AT002,inst.client_PL,47481074
AT002,inst.client_PT,161557587
AT002,inst.client_R5,1044861261.9999999
AT002,inst.client_RO,63503881
AT002,inst.client_SE,65223929.99999999
AT002,inst.client_SI,255473337
AT002,inst.client_SK,143746039
AT002,inst.client_US,1325062161
AT002,sovereign_AT,226291218.8606
AT002,sovereign_BE,110046840
AT002,sovereign_BG,155410238.58200002
AT002,sovereign_CZ,66075862.5443
AT002,sovereign_DE,197161669.8
AT002,sovereign_E5,1119348807.6155
AT002,sovereign_FR,250229000
AT002,sovereign_GR,3319020
AT002,sovereign_HU,163844279.2955
AT002,sovereign_IT,323339880.73990005
AT002,sovereign_LT,1417969.1
AT002,sovereign_LV,2441964.0999999996
AT002,sovereign_NL,99912500
AT002,sovereign_PL,2280615621.2047
AT002,sovereign_R5,23638377.1055
AT002,sovereign_RO,228425491.02589998
AT002,sovereign_SI,3039010
AT002,sovereign_SK,559592404.74
AT002,sovereign_US,776748.2411999999
AT003,corporate_AT,3271991279.6649
AT003,corporate_BE,9754711.79
AT003,corporate_BG,125207417.1225
AT003,corporate_CY,6314297.67
AT003,corporate_CZ,1744912346.314
AT003,corporate_DE,1500878349.8762
AT003,corporate_DK,22794448.325000003
AT003,corporate_ES,240526435.46600002
AT003,corporate_FI,17270342.47
AT003,corporate_FR,215393889.312
AT003,corporate_GB,259672089.2847
AT003,corporate_GR,53924799.1
AT003,corporate_HU,877858429.8350999
AT003,corporate_IE,44478303.25
AT003,corporate_IT,251019203.48749998
AT003,corporate_LU,159739602.2324
AT003,corporate_LV,132367061.635
AT003,corporate_MT,29345636.4454
AT003,corporate_NL,402104808.53169996
AT003,corporate_NO,139779.35
AT003,corporate_PL,602891699.6356001
AT003,corporate_PT,7000000
AT003,corporate_R5,1207315784.5398
AT003,corporate_RO,1008200383.5797
AT003,corporate_SE,11418959.83
AT003,corporate_SI,460221364.7658
AT003,corporate_SK,824118236.0397999
AT003,corporate_US,389136702.71040004
AT003,inst.client_AT,6780692254.3545
AT003,inst.client_BE,50129715.444
AT003,inst.client_CZ,98850090.8805
AT003,inst.client_DE,1011356579.9891001
AT003,inst.client_DK,149765656.028
AT003,inst.client_ES,51782137.074700005
AT003,inst.client_FI,18634371.58
AT003,inst.client_FR,325533149.1118
AT003,inst.client_GB,253374769.5582
AT003,inst.client_HU,192021794.2036
AT003,inst.client_IE,36809429.732300006
AT003,inst.client_IT,274398530.494
AT003,inst.client_LU,30801323.7531
AT003,inst.client_MT,16165266.608700002
AT003,inst.client_NL,206178594.72
AT003,inst.client_NO,48169431.14
AT003,inst.client_PL,14535939.636
AT003,inst.client_PT,29513040
AT003,inst.client_R5,674901831.8881
AT003,inst.client_RO,145626169.4325
AT003,inst.client_SE,47270702.73
AT003,inst.client_SI,23106192.7317
AT003,inst.client_SK,25609471.412
AT003,inst.client_US,283141803.61230004
AT003,sovereign_AT,24685387.56
AT003,sovereign_BE,68609349.70910001
AT003,sovereign_CZ,222652461.2764
AT003,sovereign_DE,67511156.88080001
AT003,sovereign_E5,41056062.4502
AT003,sovereign_ES,131061255.95521002
AT003,sovereign_FI,428778.8922
AT003,sovereign_FR,15192374.575900001
AT003,sovereign_GR,156940581.17297998
AT003,sovereign_HU,184404916.6332
AT003,sovereign_IE,26131606.473
AT003,sovereign_IT,254507112.8806
AT003,sovereign_LT,64132999.99999999
AT003,sovereign_LU,20225.1102
AT003,sovereign_M1,2861782.3793999995
AT003,sovereign_MT,117538665.16
AT003,sovereign_NL,1509555.6608
AT003,sovereign_PL,229658765.4131
AT003,sovereign_PT,58675599.526599996
AT003,sovereign_RO,616842489.6421
AT003,sovereign_SI,124600662.96
AT003,sovereign_SK,123315023.0488
BE004,corporate_AT,49881136.03
BE004,corporate_BE,23967957480.5544
BE004,corporate_DE,1536447085.335
BE004,corporate_E5,9497804356.61
BE004,corporate_ES,4454043039.01
BE004,corporate_FR,9569508165.37
BE004,corporate_GB,8804718161.05
BE004,corporate_GR,167663301.62
BE004,corporate_IT,2455760889.69
BE004,corporate_LU,3892026347.691
BE004,corporate_PL,32807773.930000003
BE004,corporate_PT,966699172.9699999
BE004,corporate_R5,11274992921.508
BE004,corporate_US,10636763516.3536
BE004,direct.sovereign.derivatives_BE,-80000000
BE004,direct.sovereign.derivatives_IT,1554000000
BE004,inst.client_AT,578136422.4699999
BE004,inst.client_BE,23697259626.56
BE004,inst.client_DE,11508227838.119999
BE004,inst.client_E5,1421305568.48
BE004,inst.client_ES,23630382696.35
BE004,inst.client_FR,71638677559.2156
BE004,inst.client_GB,13623765041.48
BE004,inst.client_GR,98055471.95
BE004,inst.client_IT,25356112958.92
BE004,inst.client_JP,3294216091.45
BE004,inst.client_LU,2159666083.3
BE004,inst.client_PL,306228371.71
BE004,inst.client_PT,1838917131.5200002
BE004,inst.client_R5,23949922428.2701
BE004,inst.client_US,25109430426.69
BE004,sovereign_A1,346511105.4678
BE004,sovereign_AT,961493433.4399999
BE004,sovereign_BE,3086428285.0523
BE004,sovereign_BG,306236828.8284
BE004,sovereign_CY,84952299.28
BE004,sovereign_CZ,530543797.4256
BE004,sovereign_DE,1474902302.3984
BE004,sovereign_E3,329459565.7482
BE004,sovereign_E5,3421362326.6993
BE004,sovereign_ES,2286210301.1988
BE004,sovereign_FI,83754982.6522
BE004,sovereign_FR,2894152941.6338
BE004,sovereign_GB,2547.8554
BE004,sovereign_GR,6499223174.2838
BE004,sovereign_HU,3525952220.6755
BE004,sovereign_IE,575648.1256
BE004,sovereign_IT,18927977939.718502
BE004,sovereign_JP,3248906977.8742
BE004,sovereign_LT,336444569.9
BE004,sovereign_LU,67657102
BE004,sovereign_LV,108364866.02
BE004,sovereign_M1,454815218.42109996
BE004,sovereign_NL,266596747.67759997
BE004,sovereign_NO,37400414.6514
BE004,sovereign_PL,4503330589.153999
BE004,sovereign_PT,3763650810.5334
BE004,sovereign_R5,2210939536.7781
BE004,sovereign_RO,44568039.74
BE004,sovereign_SE,22985655.9526
BE004,sovereign_SI,24564253.12
BE004,sovereign_SK,780482334.1466
BE004,sovereign_US,1037618507.9185
BE005,corporate_A1,1310232700
BE005,corporate_AT,99497480
BE005,corporate_BE,21855700691.1
BE005,corporate_BG,254564319.71
BE005,corporate_CY,37050850
BE005,corporate_CZ,7683138652.7503
BE005,corporate_DE,2736097970.24
BE005,corporate_DK,83160390
BE005,corporate_E5,775754070.65
BE005,corporate_EE,110
BE005,corporate_ES,760584380
BE005,corporate_FI,40
BE005,corporate_FR,1624610903.53
BE005,corporate_GB,2282169166.5
BE005,corporate_GR,31566940
BE005,corporate_HU,2845857410.8909
BE005,corporate_IE,2538642510
BE005,corporate_IT,151638050
BE005,corporate_LU,1672030660
BE005,corporate_LV,50
BE005,corporate_NL,1620799829.77
BE005,corporate_NO,65507329.99999999
BE005,corporate_PL,2542681755.0789
BE005,corporate_PT,20615400
BE005,corporate_R5,2305574860
BE005,corporate_RO,114390870
BE005,corporate_SE,11501250
BE005,corporate_SI,4416770
BE005,corporate_SK,2033136206.5706
BE005,corporate_US,4150649840
BE005,inst.client_A1,1175937200
BE005,inst.client_AT,78986450
BE005,inst.client_BE,999537610
BE005,inst.client_BG,3166270
BE005,inst.client_CY,3920200
BE005,inst.client_CZ,3275757244.9203
BE005,inst.client_DE,1845850630
BE005,inst.client_DK,147046500
BE005,inst.client_E5,278162007.87
BE005,inst.client_EE,438330
BE005,inst.client_ES,666574030
BE005,inst.client_FI,107814580
BE005,inst.client_FR,3341457900
BE005,inst.client_GB,5985795500
BE005,inst.client_GR,83717500
BE005,inst.client_HU,1083402731.0072
BE005,inst.client_IE,119027000
BE005,inst.client_IT,533844810.00000006
BE005,inst.client_LT,2396810
BE005,inst.client_LU,54116160
BE005,inst.client_LV,940540
BE005,inst.client_MT,5815950
BE005,inst.client_NL,276333610
BE005,inst.client_NO,4787600
BE005,inst.client_PL,696190710.5909001
BE005,inst.client_PT,32895590
BE005,inst.client_R5,1717144760
BE005,inst.client_RO,824430
BE005,inst.client_SE,37572480
BE005,inst.client_SI,104458230
BE005,inst.client_SK,195900601.6537
BE005,inst.client_US,1011104790
BE005,sovereign_A1,563343.8494000001
BE005,sovereign_AT,610663580.831
BE005,sovereign_BE,43606182251.9734
BE005,sovereign_BG,53288027.6659
BE005,sovereign_CY,1023463.9999999999
BE005,sovereign_CZ,7283937195.9654
BE005,sovereign_DE,2742878453.0171003
BE005,sovereign_DK,1549522.5399999998
BE005,sovereign_E3,528824822.5964001
BE005,sovereign_E5,91633007.25
BE005,sovereign_ES,2741627341.6178
BE005,sovereign_FI,173080364.29999998
BE005,sovereign_FR,3157708423.1968
BE005,sovereign_GB,34565599.774
BE005,sovereign_GR,648918119.35
BE005,sovereign_HU,2259794095.9635
BE005,sovereign_IE,185207162.88784
BE005,sovereign_IT,9250214651.3612
BE005,sovereign_LT,8572633.200000001
BE005,sovereign_LU,14146398.000000002
BE005,sovereign_NL,177553882.5751
BE005,sovereign_NO,225642.27279999998
BE005,sovereign_PL,3790903555.2314
BE005,sovereign_PT,43355309.9414
BE005,sovereign_SI,266429623.2406
BE005,sovereign_SK,2440821067.2884
BE005,sovereign_US,226685814.7498
CY006,corporate_CY,4863000000
CY006,corporate_DE,73000000
CY006,corporate_DK,9000000
CY006,corporate_E5,1004000000
CY006,corporate_EE,28000000
CY006,corporate_ES,105000000
CY006,corporate_FR,164000000
CY006,corporate_GB,705000000
CY006,corporate_GR,6739000000
CY006,corporate_M1,33000000
CY006,corporate_MT,347000000
CY006,corporate_NL,15000000
CY006,corporate_R5,1796000000
CY006,corporate_RO,184000000
CY006,corporate_US,95000000
CY006,inst.client_A1,50000000
CY006,inst.client_AT,281000000
CY006,inst.client_BE,292000000
CY006,inst.client_CY,96000000
CY006,inst.client_CZ,19000000
