,abw,afg,ago,aia,alb,and,ant,are,arg,atf,atg,aus,aut,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,blz,bmu,bol,bra,brb,brn,btn,caf,can,cck,che,chl,chn,civ,cmr,cod,cog,cok,col,com,cpv,cri,csk,cub,cxr,cym,cyp,ddr,deu,dji,dma,dnk,dom,dza,ecu,egy,esh,esp,eth,fin,fji,flk,fra,fro,gab,gbr,gha,gib,gin,glp,gmb,gnb,gnq,grc,grd,grl,gtm,guf,guy,hkg,hnd,hti,hun,idn,ind,iot,irl,irn,irq,isl,isr,ita,jam,jor,jpn,ken,khm,kir,kna,kor,kwt,lao,lbn,lbr,lby,lca,lka,mac,mar,mdg,mdv,mex,mli,mlt,mmr,mng,moz,mrt,msr,mtq,mus,mwi,mys,ncl,ner,nfk,nga,nic,niu,nld,nor,npl,nru,nzl,omn,pak,pan,pci,pcn,per,phl,png,pol,prk,prt,pry,pyf,qat,reu,rou,rwa,sau,sdn,sen,sgp,shn,slb,sle,slv,som,spm,stp,sun,sur,swe,syc,syr,tca,tcd,tgo,tha,tkl,tls,ton,tto,tun,tur,tuv,tza,uga,ury,usa,vct,ven,vgb,vnm,vut,wlf,wsm,yem,ymd,yug,zaf,zmb,zwe
abw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4805000.0,0.0,0.0,746289.0,0.0,0.0,0.0,0.0,0.0,1290738.0,0.0,0.0,0.0,0.0,3808222.0,0.0,0.0,20331983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3203960.0,0.0,0.0,0.0,0.0,0.0,0.0,1005291.0,0.0,0.0,0.0,0.0,20332098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442166.0,0.0,0.0,0.0,0.0,0.0,0.0,38964102.0,0.0,0.0,0.0,8243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201836416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672285.0,99832.0,0.0,2042401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858821.0,0.0,0.0,0.0,0.0,219203.0,0.0,2554768.0,0.0,22385240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20058000.0,0.0,0.0,731285.0,0.0,0.0,0.0,0.0,0.0,13763.0,0.0,583114.0,0.0,0.0,15554997.0,0.0,0.0,13936341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1557768.0,0.0,0.0,0.0,0.0,0.0,18673600.0,0.0,0.0,0.0,2101799.0,50432624.0,0.0,1776683.0,0.0,0.0,0.0,0.0,2182130.0,0.0,0.0,120889169.0,0.0,0.0,0.0,0.0,36662831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3547016.0,0.0,0.0,0.0,0.0,0.0,0.0,3678442.0,56317.0,0.0,0.0,7352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72597440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59932.0,0.0,0.0,0.0,0.0,0.0,3875091.0,0.0,0.0,0.0,0.0,0.0,1432276.0,0.0,0.0,0.0,0.0,4259683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031000.0,0.0,0.0,0.0
ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22682668.0,0.0,0.0,1271184.0,2800285.0,0.0,70776669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83124503.0,0.0,0.0,0.0,0.0,21789760.0,0.0,35174318.0,0.0,7083129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81500000.0,0.0,0.0,20952735.0,0.0,0.0,0.0,0.0,0.0,105739847.0,0.0,2258476.0,0.0,0.0,153265321.0,0.0,0.0,47447423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402087.0,0.0,0.0,0.0,0.0,0.0,11069576.0,0.0,0.0,0.0,1562620.0,1081322.0,0.0,1841831.0,0.0,0.0,0.0,0.0,78934408.0,0.0,0.0,29734039.0,0.0,0.0,0.0,0.0,22721639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195796.0,0.0,0.0,0.0,0.0,0.0,0.0,93696090.0,5809674.0,0.0,0.0,122595.0,0.0,0.0,0.0,0.0,0.0,0.0,2309875.0,0.0,0.0,0.0,413039813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21314221.0,0.0,0.0,0.0,0.0,0.0,11737078.0,0.0,0.0,0.0,0.0,0.0,410691.0,0.0,0.0,0.0,0.0,149745608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3631000.0,0.0,0.0,0.0
aia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132073.0,0.0,0.0,60041.0,0.0,0.0,62133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5076445.0,0.0,0.0,0.0,0.0,424637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69000.0,0.0,0.0,71687.0,0.0,0.0,0.0,0.0,0.0,91016.0,0.0,756.0,0.0,0.0,1563131.0,0.0,0.0,3212049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1926.0,0.0,0.0,0.0,0.0,1876609.0,0.0,0.0,620556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54095.0,0.0,0.0,0.0,0.0,0.0,0.0,76188.0,11215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15296662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21815.0,0.0,0.0,2994.0,12292204.0,0.0,3391107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76296.0,0.0,0.0,0.0,0.0,292695.0,0.0,8439157.0,0.0,25854131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36342000.0,0.0,0.0,280129.0,0.0,0.0,0.0,0.0,0.0,4562567.0,0.0,98005.0,0.0,0.0,10252738.0,0.0,0.0,7956332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17871763.0,0.0,0.0,0.0,0.0,0.0,35382.0,0.0,0.0,0.0,0.0,29703.0,0.0,571913.0,0.0,0.0,0.0,0.0,60469335.0,0.0,0.0,1133807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194997.0,0.0,0.0,0.0,0.0,0.0,0.0,3417412.0,196820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3793786.0,0.0,0.0,0.0,0.0,0.0,97335.0,0.0,0.0,0.0,0.0,0.0,5679586.0,0.0,0.0,0.0,0.0,10409164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35943000.0,0.0,0.0,0.0
and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60843.0,0.0,0.0,0.0,0.0,0.0,8422212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7281.0,0.0,0.0,0.0,0.0,0.0,0.0,6525297.0,0.0,307934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59751000.0,0.0,0.0,5269784.0,0.0,0.0,0.0,0.0,0.0,406304813.0,0.0,0.0,0.0,0.0,427187879.0,0.0,0.0,28194198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573659.0,0.0,2591163.0,0.0,0.0,0.0,0.0,33122608.0,0.0,0.0,20898043.0,0.0,0.0,0.0,0.0,172816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,27724810.0,34876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40194777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155000.0,0.0,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29117228.0,0.0,0.0,519972.0,3995866.0,0.0,10701959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21382940.0,0.0,0.0,0.0,0.0,18214807.0,0.0,18417693.0,0.0,660977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29394000.0,0.0,0.0,4286560.0,0.0,0.0,0.0,0.0,0.0,4327901.0,0.0,1450377.0,0.0,0.0,25291333.0,0.0,0.0,36141407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509812.0,0.0,0.0,0.0,0.0,0.0,52459168.0,0.0,0.0,0.0,7823189.0,1747766.0,0.0,1455851.0,0.0,0.0,0.0,2117401.0,91788891.0,0.0,0.0,89200695.0,0.0,0.0,0.0,0.0,6276946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76321331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431125.0,0.0,0.0,0.0,0.0,0.0,0.0,158979466.0,22475461.0,0.0,0.0,731448.0,0.0,0.0,0.0,0.0,0.0,0.0,17278066.0,0.0,0.0,0.0,899989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3365243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3065369.0,0.0,0.0,0.0,0.0,0.0,16180603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541317394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0
are,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5032799.0,0.0,0.0,121414357.0,47966530.0,0.0,145097740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66117607.0,0.0,0.0,0.0,0.0,25651820.0,0.0,225774614.0,0.0,269154290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126447992.0,0.0,0.0,80791148.0,0.0,0.0,0.0,0.0,0.0,93420932.0,0.0,34751816.0,0.0,0.0,679746547.0,0.0,0.0,1108571915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29686662.0,0.0,0.0,0.0,0.0,0.0,382341012.0,0.0,0.0,0.0,140836194.0,433929289.0,0.0,26023755.0,0.0,0.0,0.0,0.0,577690398.0,0.0,68593.0,1559346359.0,0.0,0.0,0.0,0.0,608687692.0,15293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139122407.0,0.0,0.0,0.0,0.0,0.0,0.0,244194327.0,33807188.0,0.0,0.0,20647374.0,2251148.0,17282.0,0.0,0.0,0.0,0.0,44183013.0,0.0,0.0,0.0,5522920.0,0.0,0.0,18494.0,0.0,0.0,0.0,0.0,0.0,0.0,447646043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76720069.0,0.0,0.0,0.0,0.0,0.0,324524077.0,0.0,0.0,0.0,0.0,0.0,75406331.0,0.0,0.0,0.0,0.0,998169051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34830000.0,0.0,0.0,0.0
arg,0.0,11457.0,30706.0,0.0,19387.0,0.0,668602.0,0.0,0.0,0.0,0.0,81109120.0,25103590.0,0.0,39000823.0,2157.0,0.0,2167892.0,2846843.0,5211.0,113079.0,0.0,28933.0,217168281.0,652840858.0,470.0,0.0,0.0,131087.0,34778540.0,0.0,80446324.0,87140490.0,29426483.0,322557.0,1127.0,258273.0,441825.0,0.0,24173658.0,0.0,0.0,212613.0,7069017.0,716662.0,0.0,0.0,125076.0,3689196.0,341951381.0,0.0,0.0,14151205.0,3055.0,0.0,15882712.0,57382.0,0.0,128174785.0,6951.0,15079927.0,0.0,0.0,162231488.0,0.0,0.0,50796607.0,0.0,84962.0,0.0,0.0,0.0,0.0,0.0,700906.0,527192.0,145601.0,69032.0,0.0,0.0,9351950.0,2685.0,19914.0,4407317.0,7711524.0,7999906.0,0.0,9652820.0,211078.0,46577.0,65822.0,12827959.0,197677223.0,1075.0,0.0,164736232.0,0.0,606.0,0.0,0.0,79798354.0,0.0,0.0,1489.0,10344.0,0.0,0.0,1365012.0,150851.0,784497.0,32907.0,0.0,115848695.0,5595.0,153883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19739675.0,0.0,0.0,0.0,325196.0,0.0,0.0,50118196.0,28129273.0,0.0,0.0,1098404.0,7582.0,392135.0,85537.0,0.0,1500.0,10466731.0,1584239.0,49992.0,14868844.0,19162.0,2943970.0,36189985.0,3580.0,0.0,0.0,4513988.0,0.0,11268048.0,75548.0,5056.0,17234447.0,0.0,0.0,0.0,157093.0,8665.0,0.0,0.0,13298702.0,10449.0,37206112.0,0.0,70253.0,0.0,0.0,0.0,1148459.0,0.0,0.0,0.0,168961.0,0.0,1104286.0,0.0,0.0,0.0,72774694.0,744999930.0,0.0,7142964.0,0.0,0.0,0.0,0.0,0.0,0.0,9136.0,5398316.0,16711681.0,0.0,1709751.0
atf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,0.0
